Step 0 completed, it took 12.005226135253906 seconds
100%|████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.02it/s]
100%|████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.46it/s]
Validation at step 0 took 90.7355375289917 seconds
Step 1 completed, it took 14.45389461517334 seconds
Step 2 completed, it took 13.048438787460327 seconds
Step 3 completed, it took 12.121527671813965 seconds
Step 4 completed, it took 12.699585676193237 seconds
Step 5 completed, it took 13.777761697769165 seconds
Step 6 completed, it took 15.263833999633789 seconds
Step 7 completed, it took 14.275150060653687 seconds
Step 8 completed, it took 14.70366358757019 seconds
Step 9 completed, it took 14.940677404403687 seconds
Step 10 completed, it took 15.701945066452026 seconds
Step 11 completed, it took 13.6157968044281 seconds
Step 12 completed, it took 13.926220178604126 seconds
Step 13 completed, it took 14.172581434249878 seconds
Step 14 completed, it took 14.532213687896729 seconds
Step 15 completed, it took 15.583364963531494 seconds
Step 16 completed, it took 14.56074595451355 seconds
Step 17 completed, it took 16.48302984237671 seconds
Step 18 completed, it took 15.89667296409607 seconds
Step 19 completed, it took 14.47920536994934 seconds
Step 20 completed, it took 13.790011882781982 seconds
Step 21 completed, it took 13.18324065208435 seconds
Step 22 completed, it took 14.742463111877441 seconds
Step 23 completed, it took 15.147096157073975 seconds
Step 24 completed, it took 17.706945657730103 seconds
Step 25 completed, it took 17.250088453292847 seconds
Step 26 completed, it took 18.30465817451477 seconds
Step 27 completed, it took 18.319236993789673 seconds
Step 28 completed, it took 14.861541748046875 seconds
Step 29 completed, it took 14.22342824935913 seconds
Step 30 completed, it took 14.06495475769043 seconds
Step 31 completed, it took 14.394447565078735 seconds
Step 32 completed, it took 13.808976411819458 seconds
Step 33 completed, it took 14.0636727809906 seconds
Step 34 completed, it took 13.019510746002197 seconds
Step 35 completed, it took 14.910056114196777 seconds
Step 36 completed, it took 17.003605365753174 seconds
Step 37 completed, it took 14.814495086669922 seconds
Step 38 completed, it took 14.734766960144043 seconds
Step 39 completed, it took 14.181230306625366 seconds
Step 40 completed, it took 14.768269062042236 seconds
Step 41 completed, it took 15.712164402008057 seconds
Step 42 completed, it took 14.62064504623413 seconds
Step 43 completed, it took 15.883836507797241 seconds
Step 44 completed, it took 15.408583402633667 seconds
Step 45 completed, it took 12.74551248550415 seconds
Step 46 completed, it took 11.63907241821289 seconds
Step 47 completed, it took 13.614563941955566 seconds
Step 48 completed, it took 12.102283716201782 seconds
Step 49 completed, it took 14.330804347991943 seconds
Step 50 completed, it took 15.040117740631104 seconds
Step 51 completed, it took 15.625540971755981 seconds
Step 52 completed, it took 13.267041444778442 seconds
Step 53 completed, it took 15.377655506134033 seconds
Step 54 completed, it took 14.411580562591553 seconds
Step 55 completed, it took 13.522171974182129 seconds
Step 56 completed, it took 15.160435914993286 seconds
Step 57 completed, it took 16.442376136779785 seconds
Step 58 completed, it took 14.921267986297607 seconds
Step 59 completed, it took 17.791890144348145 seconds
Step 60 completed, it took 15.75677227973938 seconds
Step 61 completed, it took 14.382723093032837 seconds
Step 62 completed, it took 15.353038787841797 seconds
Step 63 completed, it took 14.119297742843628 seconds
Step 64 completed, it took 17.979439735412598 seconds
Step 65 completed, it took 16.73594832420349 seconds
Step 66 completed, it took 15.141895532608032 seconds
Step 67 completed, it took 16.454786777496338 seconds
Step 68 completed, it took 17.85180974006653 seconds
Step 69 completed, it took 17.135720014572144 seconds
Step 70 completed, it took 14.565406322479248 seconds
Step 71 completed, it took 13.453093528747559 seconds
Step 72 completed, it took 14.696326732635498 seconds
Step 73 completed, it took 11.912412643432617 seconds
Step 74 completed, it took 13.287078619003296 seconds
Step 75 completed, it took 13.460983753204346 seconds
Step 76 completed, it took 13.680556774139404 seconds
Step 77 completed, it took 12.95997142791748 seconds
