Step 0 completed, it took 12.03098726272583 seconds
100%|████████████████████████████████████████████████████████| 1/1 [00:03<00:00,  3.33s/it]
100%|████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.39s/it]
Validation at step 0 took 93.5611093044281 seconds
Step 1 completed, it took 13.756389617919922 seconds
Step 2 completed, it took 15.131440162658691 seconds
Step 3 completed, it took 15.846433162689209 seconds
Step 4 completed, it took 13.8166663646698 seconds
Step 5 completed, it took 15.735932111740112 seconds
Step 6 completed, it took 15.457842111587524 seconds
Step 7 completed, it took 13.823527097702026 seconds
Step 8 completed, it took 15.320615530014038 seconds
Step 9 completed, it took 16.471524238586426 seconds
Step 10 completed, it took 17.399345636367798 seconds
Step 11 completed, it took 14.003364324569702 seconds
Step 12 completed, it took 13.64402985572815 seconds
Step 13 completed, it took 14.771909475326538 seconds
Step 14 completed, it took 14.053385019302368 seconds
Step 15 completed, it took 15.38004755973816 seconds
Step 16 completed, it took 15.350548505783081 seconds
Step 17 completed, it took 14.785640239715576 seconds
Step 18 completed, it took 15.47360348701477 seconds
Step 19 completed, it took 15.850722312927246 seconds
Step 20 completed, it took 15.235763788223267 seconds
Step 21 completed, it took 14.788733005523682 seconds
Step 22 completed, it took 15.240744829177856 seconds
