Step 0 completed, it took 12.236891984939575 seconds
100%|████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.09it/s]
100%|████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.29it/s]
Validation at step 0 took 72.27092337608337 seconds
Step 1 completed, it took 14.297324419021606 seconds
Step 2 completed, it took 14.52545976638794 seconds
Step 3 completed, it took 14.86530590057373 seconds
Step 4 completed, it took 14.77652359008789 seconds
Step 5 completed, it took 14.23137354850769 seconds
Step 6 completed, it took 14.497769832611084 seconds
Step 7 completed, it took 12.927039623260498 seconds
Step 8 completed, it took 12.625818014144897 seconds
Step 9 completed, it took 13.332031011581421 seconds
Step 10 completed, it took 13.23065185546875 seconds
Step 11 completed, it took 11.586223363876343 seconds
Step 12 completed, it took 13.235547065734863 seconds
Step 13 completed, it took 12.270259380340576 seconds
Step 14 completed, it took 12.493715524673462 seconds
Step 15 completed, it took 13.064606428146362 seconds
Step 16 completed, it took 12.690828561782837 seconds
Step 17 completed, it took 14.249094724655151 seconds
Step 18 completed, it took 13.057712316513062 seconds
Step 19 completed, it took 12.659822225570679 seconds
Step 20 completed, it took 12.88224720954895 seconds
Step 21 completed, it took 13.465521574020386 seconds
Step 22 completed, it took 11.107502698898315 seconds
Step 23 completed, it took 13.316195964813232 seconds
Step 24 completed, it took 12.414792776107788 seconds
Step 25 completed, it took 11.93549108505249 seconds
Step 26 completed, it took 13.692981719970703 seconds
Step 27 completed, it took 13.132637739181519 seconds
Step 28 completed, it took 13.467414617538452 seconds
Step 29 completed, it took 15.125527381896973 seconds
Step 30 completed, it took 16.198725938796997 seconds
Step 31 completed, it took 16.917386770248413 seconds
Step 32 completed, it took 15.381276369094849 seconds
Step 33 completed, it took 12.189162254333496 seconds
Step 34 completed, it took 13.021993637084961 seconds
Step 35 completed, it took 14.403918981552124 seconds
Step 36 completed, it took 13.717851161956787 seconds
Step 37 completed, it took 11.811604261398315 seconds
Step 38 completed, it took 12.300656080245972 seconds
Step 39 completed, it took 12.801974773406982 seconds
Step 40 completed, it took 12.984113931655884 seconds
Step 41 completed, it took 11.76557207107544 seconds
Step 42 completed, it took 12.235565185546875 seconds
Step 43 completed, it took 12.052696943283081 seconds
Step 44 completed, it took 12.935126304626465 seconds
Step 45 completed, it took 12.525159358978271 seconds
Step 46 completed, it took 13.07202959060669 seconds
Step 47 completed, it took 15.466665506362915 seconds
Step 48 completed, it took 13.63795280456543 seconds
Step 49 completed, it took 12.709320783615112 seconds
Step 50 completed, it took 13.397282361984253 seconds
Step 51 completed, it took 14.206128358840942 seconds
Step 52 completed, it took 13.34134316444397 seconds
Step 53 completed, it took 15.010606050491333 seconds
Step 54 completed, it took 14.010628461837769 seconds
Step 55 completed, it took 16.400407791137695 seconds
Step 56 completed, it took 13.044342279434204 seconds
Step 57 completed, it took 12.664098739624023 seconds
Step 58 completed, it took 13.089608669281006 seconds
Step 59 completed, it took 12.90074634552002 seconds
Step 60 completed, it took 13.97078561782837 seconds
Step 61 completed, it took 14.421583414077759 seconds
Step 62 completed, it took 14.242761135101318 seconds
Step 63 completed, it took 12.87539553642273 seconds
Step 64 completed, it took 13.213050127029419 seconds
Step 65 completed, it took 13.598819255828857 seconds
Step 66 completed, it took 13.371822595596313 seconds
Step 67 completed, it took 13.979104042053223 seconds
Step 68 completed, it took 13.991313219070435 seconds
Step 69 completed, it took 13.019472599029541 seconds
Step 70 completed, it took 13.388021469116211 seconds
Step 71 completed, it took 13.89522123336792 seconds
Step 72 completed, it took 13.150966167449951 seconds
Step 73 completed, it took 13.126370668411255 seconds
Step 74 completed, it took 15.411859035491943 seconds
Step 75 completed, it took 15.77733564376831 seconds
Step 76 completed, it took 13.541937351226807 seconds
Step 77 completed, it took 15.81823444366455 seconds
Step 78 completed, it took 12.510316371917725 seconds
Step 79 completed, it took 15.330519914627075 seconds
Step 80 completed, it took 14.861827850341797 seconds
Step 81 completed, it took 16.00733709335327 seconds
Step 82 completed, it took 14.587429285049438 seconds
Step 83 completed, it took 14.170799732208252 seconds
Step 84 completed, it took 12.938081741333008 seconds
Step 85 completed, it took 13.836904525756836 seconds
Step 86 completed, it took 14.89559292793274 seconds
Step 87 completed, it took 15.669934272766113 seconds
Step 88 completed, it took 13.02594256401062 seconds
Step 89 completed, it took 12.48815631866455 seconds
Step 90 completed, it took 12.366922378540039 seconds
Step 91 completed, it took 12.919589042663574 seconds
Step 92 completed, it took 12.639103651046753 seconds
Step 93 completed, it took 13.551118612289429 seconds
Step 94 completed, it took 13.917341232299805 seconds
Step 95 completed, it took 11.895298957824707 seconds
Step 96 completed, it took 12.491066694259644 seconds
Step 97 completed, it took 12.949061155319214 seconds
Step 98 completed, it took 12.773406267166138 seconds
Step 99 completed, it took 13.794542074203491 seconds
Step 100 completed, it took 14.449264526367188 seconds
Step 101 completed, it took 14.36345887184143 seconds
Step 102 completed, it took 13.244026184082031 seconds
Step 103 completed, it took 12.747175455093384 seconds
Step 104 completed, it took 13.061214208602905 seconds
Step 105 completed, it took 15.189311265945435 seconds
Step 106 completed, it took 12.717157125473022 seconds
Step 107 completed, it took 12.553538799285889 seconds
Step 108 completed, it took 15.22767424583435 seconds
Step 109 completed, it took 12.878062009811401 seconds
Step 110 completed, it took 13.007330417633057 seconds
Step 111 completed, it took 13.303077220916748 seconds
Step 112 completed, it took 12.765746355056763 seconds
Step 113 completed, it took 13.632594585418701 seconds
Step 114 completed, it took 12.523203372955322 seconds
Step 115 completed, it took 11.484349966049194 seconds
Step 116 completed, it took 13.212027311325073 seconds
Step 117 completed, it took 14.008068561553955 seconds
Step 118 completed, it took 14.610061168670654 seconds
Step 119 completed, it took 12.636222839355469 seconds
Step 120 completed, it took 12.703860521316528 seconds
Step 121 completed, it took 14.53403115272522 seconds
Step 122 completed, it took 12.184435844421387 seconds
Step 123 completed, it took 12.516242742538452 seconds
Step 124 completed, it took 15.5424644947052 seconds
Step 125 completed, it took 13.185574531555176 seconds
Step 126 completed, it took 13.47409462928772 seconds
Step 127 completed, it took 12.932896614074707 seconds
Step 128 completed, it took 13.205872774124146 seconds
Step 129 completed, it took 11.64155888557434 seconds
Step 130 completed, it took 11.97518277168274 seconds
Step 131 completed, it took 13.121642827987671 seconds
Step 132 completed, it took 12.316953182220459 seconds
Step 133 completed, it took 14.803280591964722 seconds
Step 134 completed, it took 12.8919837474823 seconds
